message_id,source_row_index,true_satellite,claimed_satellite,rf_predicted_sat,rf_confidence,rf_matches_claim,openset_score,model_name,feature_set,n_features,split_type,test_fraction,random_seed,rf_n_estimators,rf_scaled,rf_test_accuracy
29,2849,85,85,85,0.345,True,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
30,4854,51,51,109,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
31,5214,109,109,85,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
32,2602,109,109,87,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
33,4825,92,92,87,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
34,1660,87,87,87,0.28,True,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
35,4260,109,109,92,0.225,False,0.225,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
36,1607,85,85,85,0.535,True,0.535,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
37,5780,92,92,109,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
38,5340,85,85,85,0.28,True,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
39,4371,85,85,85,0.275,True,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
40,3062,87,87,51,0.21,False,0.21,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
41,251,109,109,92,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
42,2052,92,92,109,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
43,1323,109,109,109,0.295,True,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
44,6104,51,51,51,0.355,True,0.355,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
45,129,92,92,92,0.265,True,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
46,711,87,87,87,0.22,True,0.22,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
47,4568,87,87,87,0.25,True,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
48,104,87,87,109,0.31,False,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
49,5591,87,87,92,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
50,6063,51,51,109,0.425,False,0.425,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
51,4616,92,92,87,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
52,4191,51,51,92,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
53,5108,109,109,109,0.275,True,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
54,2294,85,85,109,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
55,4772,92,92,92,0.34,True,0.34,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
56,196,51,51,109,0.35,False,0.35,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
57,3086,87,87,92,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
58,2786,85,85,85,0.245,True,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
59,4134,87,87,109,0.235,False,0.235,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
60,1835,87,87,51,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
61,2289,109,109,87,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
62,5752,87,87,109,0.345,False,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
63,1794,87,87,85,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
64,1449,85,85,109,0.35,False,0.35,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
65,2073,92,92,92,0.31,True,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
66,5338,85,85,92,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
67,1119,51,51,85,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
68,125,92,92,92,0.28,True,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
69,3833,85,85,87,0.225,False,0.225,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
70,3488,51,51,109,0.37,False,0.37,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
71,2530,109,109,85,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
72,6103,51,51,85,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
73,2897,85,85,85,0.295,True,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
74,2760,85,85,92,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
75,5942,51,51,85,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
76,2341,51,51,85,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
77,725,87,87,85,0.305,False,0.305,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
78,4405,85,85,87,0.32,False,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
79,5458,87,87,51,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
80,5307,85,85,87,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
81,3535,51,51,109,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
82,5894,92,92,109,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
83,4718,92,92,85,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
84,3312,92,92,85,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
85,1784,87,87,87,0.265,True,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
86,4590,87,87,92,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
87,5771,92,92,109,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
88,1573,85,85,85,0.235,True,0.235,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
89,2203,51,51,87,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
90,4319,109,109,109,0.38,True,0.38,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
91,3330,51,51,92,0.32,False,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
92,5331,85,85,92,0.27,False,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
93,5599,87,87,85,0.305,False,0.305,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
94,3754,109,109,92,0.235,False,0.235,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
95,349,85,85,109,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
96,2045,92,92,85,0.27,False,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
97,1300,109,109,85,0.27,False,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
98,4868,51,51,109,0.485,False,0.485,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
99,2534,109,109,92,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
100,5163,109,109,87,0.26,False,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
101,2652,109,109,109,0.255,True,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
102,2728,85,85,51,0.4,False,0.4,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
103,1459,109,109,109,0.29,True,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
104,4446,85,85,85,0.335,True,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
105,5177,85,85,92,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
106,4236,109,109,87,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
107,884,92,92,51,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
108,986,51,51,109,0.325,False,0.325,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
109,2210,51,51,92,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
110,971,92,92,85,0.325,False,0.325,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
111,6068,51,51,109,0.365,False,0.365,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
112,1778,87,87,87,0.29,True,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
113,3119,92,92,85,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
114,3007,87,87,87,0.25,True,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
115,452,85,85,109,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
116,2518,109,109,92,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
117,896,92,92,109,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
118,1343,109,109,85,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
119,1584,85,85,85,0.425,True,0.425,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
120,4596,87,87,85,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
121,630,85,85,85,0.335,True,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
122,1051,51,51,92,0.31,False,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
123,4009,92,92,92,0.255,True,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
124,3544,51,51,85,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
125,1935,92,92,92,0.325,True,0.325,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
126,2513,109,109,109,0.295,True,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
127,1501,85,85,51,0.33,False,0.33,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
128,2597,85,85,85,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
129,3644,51,51,92,0.26,False,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
130,1963,92,92,85,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
131,5688,87,87,87,0.285,True,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
132,527,85,85,85,0.31,True,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
133,4293,109,109,92,0.395,False,0.395,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
134,5781,92,92,85,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
135,1211,51,51,87,0.345,False,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
136,2842,85,85,85,0.45,True,0.45,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
137,6073,51,51,87,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
138,3166,87,87,51,0.335,False,0.335,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
139,5497,87,87,87,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
140,127,92,92,109,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
141,1016,92,92,92,0.32,True,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
142,5303,85,85,92,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
143,1047,51,51,85,0.44,False,0.44,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
144,888,92,92,87,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
145,3064,92,92,92,0.345,True,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
146,1258,109,109,87,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
147,3939,87,87,51,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
148,2093,51,51,85,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
149,5274,85,85,87,0.32,False,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
150,3776,109,109,85,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
151,5846,92,92,92,0.275,True,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
152,143,92,92,51,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
153,391,109,109,109,0.26,True,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
154,4586,87,87,109,0.32,False,0.32,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
155,1007,51,51,109,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
156,4442,85,85,85,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
157,1971,92,92,109,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
158,6153,51,51,85,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
159,1064,51,51,51,0.275,True,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
160,5969,92,92,85,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
161,3770,109,109,92,0.305,False,0.305,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
162,2457,109,109,87,0.25,False,0.25,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
163,2901,85,85,109,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
164,2615,109,109,51,0.22,False,0.22,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
165,1098,51,51,92,0.26,False,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
166,512,85,85,87,0.315,False,0.315,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
167,4188,51,51,87,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
168,5693,92,92,87,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
169,321,109,109,92,0.345,False,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
170,5635,87,87,85,0.39,False,0.39,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
171,390,109,109,92,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
172,3113,92,92,92,0.345,True,0.345,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
173,342,109,109,92,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
174,2926,87,87,92,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
175,3523,51,51,109,0.26,False,0.26,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
176,3075,92,92,92,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
177,404,109,109,51,0.35,False,0.35,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
178,4332,109,109,92,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
179,5050,109,109,51,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
180,1078,51,51,92,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
181,1595,85,85,51,0.355,False,0.355,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
182,3458,51,51,87,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
183,4248,109,109,87,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
184,1024,92,92,92,0.4,True,0.4,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
185,5297,85,85,92,0.295,False,0.295,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
186,1491,85,85,85,0.22,True,0.22,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
187,2216,51,51,109,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
188,4554,87,87,85,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
189,1118,51,51,92,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
190,4479,85,85,85,0.23,True,0.23,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
191,4333,109,109,87,0.31,False,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
192,5958,51,51,85,0.33,False,0.33,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
193,4128,87,87,109,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
194,5623,87,87,51,0.245,False,0.245,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
195,3990,87,87,92,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
196,1677,85,85,92,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
197,2134,51,51,87,0.28,False,0.28,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
198,2273,109,109,51,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
199,5537,87,87,109,0.29,False,0.29,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
200,3205,92,92,92,0.31,True,0.31,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
201,4437,85,85,85,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
202,2622,85,85,85,0.265,True,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
203,6152,51,51,87,0.275,False,0.275,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
204,38,85,85,51,0.24,False,0.24,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
205,4208,51,51,87,0.255,False,0.255,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
206,4538,87,87,85,0.27,False,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
207,4979,51,51,85,0.3,False,0.3,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
208,1843,87,87,87,0.27,True,0.27,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
209,2649,109,109,87,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
210,3234,92,92,85,0.37,False,0.37,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
211,1570,85,85,51,0.365,False,0.365,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
212,957,92,92,85,0.41,False,0.41,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
213,1730,87,87,85,0.265,False,0.265,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
214,1411,109,109,92,0.285,False,0.285,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
215,5249,85,85,51,0.36,False,0.36,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
216,378,85,85,85,0.39,True,0.39,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
217,197,51,51,92,0.36,False,0.36,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
218,1599,85,85,85,0.365,True,0.365,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
219,343,109,109,109,0.37,True,0.37,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
220,1419,109,109,109,0.3,True,0.3,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
221,3918,87,87,85,0.385,False,0.385,random_forest,v1_handcrafted_28,28,stratified_80_20,0.2,42,200,False,0.244931
