message_id,true_satellite,claimed_satellite,rf_predicted_sat,rf_confidence,rf_matches_claim,openset_score
49,87,87,85,0.2467,False,0.2467
50,51,51,109,0.4267,False,0.4267
51,92,92,51,0.2533,False,0.2533
52,51,51,92,0.3267,False,0.3267
53,109,109,109,0.2767,True,0.2767
54,85,85,109,0.2567,False,0.2567
55,92,92,92,0.3333,True,0.3333
56,51,51,109,0.3533,False,0.3533
57,87,87,92,0.2633,False,0.2633
58,85,85,85,0.3,True,0.3
59,87,87,109,0.2333,False,0.2333
60,87,87,51,0.2467,False,0.2467
61,109,109,51,0.3033,False,0.3033
62,87,87,109,0.3,False,0.3
63,87,87,85,0.2567,False,0.2567
64,85,85,109,0.3467,False,0.3467
65,92,92,92,0.2933,True,0.2933
66,85,85,92,0.2467,False,0.2467
67,51,51,85,0.2867,False,0.2867
68,92,92,92,0.2767,True,0.2767
69,85,85,85,0.2367,True,0.2367
70,51,51,109,0.3667,False,0.3667
71,109,109,85,0.2633,False,0.2633
72,51,51,85,0.31,False,0.31
73,85,85,85,0.2833,True,0.2833
74,85,85,85,0.2567,True,0.2567
75,51,51,85,0.3367,False,0.3367
76,51,51,85,0.3333,False,0.3333
77,87,87,85,0.31,False,0.31
78,85,85,87,0.34,False,0.34
79,87,87,51,0.2833,False,0.2833
80,85,85,87,0.2467,False,0.2467
81,51,51,109,0.2467,False,0.2467
82,92,92,109,0.2867,False,0.2867
83,92,92,85,0.2767,False,0.2767
84,92,92,85,0.31,False,0.31
85,87,87,87,0.2733,True,0.2733
86,87,87,85,0.23,False,0.23
87,92,92,109,0.32,False,0.32
88,85,85,85,0.23,True,0.23
89,51,51,87,0.3433,False,0.3433
90,109,109,109,0.35,True,0.35
91,51,51,92,0.34,False,0.34
92,85,85,92,0.2533,False,0.2533
93,87,87,85,0.2933,False,0.2933
94,109,109,87,0.2533,False,0.2533
95,85,85,87,0.2367,False,0.2367
96,92,92,87,0.28,False,0.28
97,109,109,85,0.2833,False,0.2833
98,51,51,109,0.52,False,0.52
99,109,109,92,0.25,False,0.25
100,109,109,87,0.27,False,0.27
101,109,109,87,0.2467,False,0.2467
102,85,85,51,0.3933,False,0.3933
103,109,109,87,0.3067,False,0.3067
104,85,85,85,0.3667,True,0.3667
105,85,85,92,0.2333,False,0.2333
106,109,109,87,0.2633,False,0.2633
107,92,92,51,0.3167,False,0.3167
108,51,51,109,0.3333,False,0.3333
109,51,51,92,0.2867,False,0.2867
110,92,92,85,0.3233,False,0.3233
111,51,51,109,0.3567,False,0.3567
112,87,87,87,0.3,True,0.3
113,92,92,51,0.25,False,0.25
114,87,87,87,0.2467,True,0.2467
115,85,85,109,0.2967,False,0.2967
116,109,109,92,0.2733,False,0.2733
117,92,92,51,0.28,False,0.28
118,109,109,51,0.25,False,0.25
119,85,85,85,0.3867,True,0.3867
120,87,87,85,0.3467,False,0.3467
121,85,85,85,0.32,True,0.32
122,51,51,92,0.3133,False,0.3133
123,92,92,92,0.2467,True,0.2467
124,51,51,85,0.2733,False,0.2733
125,92,92,92,0.2767,True,0.2767
126,109,109,109,0.2833,True,0.2833
127,85,85,51,0.3767,False,0.3767
128,85,85,51,0.2633,False,0.2633
129,51,51,92,0.26,False,0.26
130,92,92,85,0.2933,False,0.2933
131,87,87,87,0.29,True,0.29
132,85,85,85,0.3167,True,0.3167
133,109,109,92,0.3733,False,0.3733
134,92,92,85,0.2867,False,0.2867
135,51,51,87,0.3367,False,0.3367
136,85,85,85,0.4267,True,0.4267
137,51,51,87,0.2967,False,0.2967
138,87,87,51,0.3233,False,0.3233
139,87,87,87,0.28,True,0.28
140,92,92,109,0.28,False,0.28
141,92,92,92,0.3167,True,0.3167
142,85,85,92,0.25,False,0.25
143,51,51,85,0.4267,False,0.4267
144,92,92,109,0.2767,False,0.2767
145,92,92,92,0.37,True,0.37
146,109,109,87,0.3367,False,0.3367
147,87,87,51,0.2533,False,0.2533
148,51,51,85,0.28,False,0.28
149,85,85,87,0.3067,False,0.3067
150,109,109,85,0.3033,False,0.3033
151,92,92,92,0.2667,True,0.2667
152,92,92,51,0.26,False,0.26
153,109,109,109,0.2567,True,0.2567
154,87,87,109,0.3267,False,0.3267
155,51,51,92,0.2533,False,0.2533
156,85,85,85,0.2467,True,0.2467
157,92,92,109,0.2967,False,0.2967
158,51,51,92,0.2767,False,0.2767
159,51,51,85,0.3,False,0.3
160,92,92,85,0.2633,False,0.2633
161,109,109,92,0.3233,False,0.3233
162,109,109,87,0.25,False,0.25
163,85,85,109,0.2733,False,0.2733
164,109,109,51,0.2233,False,0.2233
165,51,51,92,0.27,False,0.27
166,85,85,87,0.3033,False,0.3033
167,51,51,87,0.27,False,0.27
168,92,92,87,0.3033,False,0.3033
169,109,109,92,0.3167,False,0.3167
170,87,87,85,0.41,False,0.41
171,109,109,92,0.2667,False,0.2667
172,92,92,92,0.3533,True,0.3533
173,109,109,92,0.2967,False,0.2967
174,87,87,92,0.28,False,0.28
175,51,51,109,0.2567,False,0.2567
176,92,92,92,0.3,True,0.3
177,109,109,51,0.3667,False,0.3667
178,109,109,92,0.2733,False,0.2733
179,109,109,92,0.2267,False,0.2267
180,51,51,85,0.2567,False,0.2567
181,85,85,51,0.3633,False,0.3633
182,51,51,109,0.26,False,0.26
183,109,109,87,0.25,False,0.25
184,92,92,92,0.36,True,0.36
185,85,85,92,0.3033,False,0.3033
186,85,85,92,0.2333,False,0.2333
187,51,51,109,0.2633,False,0.2633
188,87,87,85,0.27,False,0.27
189,51,51,92,0.24,False,0.24
190,85,85,85,0.2333,True,0.2333
191,109,109,87,0.31,False,0.31
192,51,51,85,0.3167,False,0.3167
193,87,87,92,0.26,False,0.26
194,87,87,51,0.25,False,0.25
195,87,87,92,0.28,False,0.28
196,85,85,92,0.2967,False,0.2967
197,51,51,87,0.3033,False,0.3033
198,109,109,51,0.33,False,0.33
199,87,87,109,0.27,False,0.27
200,92,92,87,0.3067,False,0.3067
201,85,85,85,0.26,True,0.26
202,85,85,85,0.25,True,0.25
203,51,51,87,0.2567,False,0.2567
204,85,85,51,0.2267,False,0.2267
205,51,51,87,0.23,False,0.23
206,87,87,85,0.2833,False,0.2833
207,51,51,85,0.2833,False,0.2833
208,87,87,87,0.2833,True,0.2833
209,109,109,109,0.2567,True,0.2567
210,92,92,85,0.37,False,0.37
211,85,85,51,0.3433,False,0.3433
212,92,92,85,0.4167,False,0.4167
213,87,87,85,0.2567,False,0.2567
214,109,109,92,0.2767,False,0.2767
215,85,85,51,0.3767,False,0.3767
216,85,85,85,0.3667,True,0.3667
217,51,51,92,0.3567,False,0.3567
218,85,85,85,0.37,True,0.37
219,109,109,109,0.3533,True,0.3533
220,109,109,109,0.2667,True,0.2667
221,87,87,85,0.3667,False,0.3667
222,87,87,85,0.3,False,0.3
223,87,87,51,0.26,False,0.26
224,109,109,51,0.3033,False,0.3033
225,85,85,92,0.2567,False,0.2567
226,87,87,87,0.34,True,0.34
227,109,109,92,0.2533,False,0.2533
228,51,51,92,0.32,False,0.32
229,87,87,51,0.2733,False,0.2733
230,92,92,85,0.38,False,0.38
231,51,51,51,0.2433,True,0.2433
232,109,109,92,0.27,False,0.27
233,87,87,51,0.2733,False,0.2733
234,109,109,109,0.3333,True,0.3333
235,87,87,87,0.2267,True,0.2267
236,85,85,109,0.2567,False,0.2567
237,51,51,85,0.3633,False,0.3633
238,51,51,87,0.2633,False,0.2633
239,51,51,51,0.23,True,0.23
240,51,51,85,0.2767,False,0.2767
241,87,87,87,0.2667,True,0.2667
242,109,109,87,0.2733,False,0.2733
243,92,92,92,0.2767,True,0.2767
244,92,92,51,0.4167,False,0.4167
245,109,109,109,0.2767,True,0.2767
246,87,87,51,0.3067,False,0.3067
247,109,109,85,0.2367,False,0.2367
248,51,51,87,0.3333,False,0.3333
249,87,87,85,0.3,False,0.3
250,109,109,109,0.2833,True,0.2833
251,85,85,92,0.2467,False,0.2467
252,109,109,92,0.3133,False,0.3133
253,92,92,85,0.42,False,0.42
254,92,92,92,0.27,True,0.27
255,109,109,87,0.26,False,0.26
256,92,92,51,0.33,False,0.33
257,51,51,87,0.2567,False,0.2567
258,85,85,92,0.3533,False,0.3533
259,92,92,92,0.29,True,0.29
260,109,109,92,0.23,False,0.23
261,109,109,85,0.2933,False,0.2933
262,51,51,109,0.45,False,0.45
263,85,85,85,0.33,True,0.33
264,92,92,92,0.27,True,0.27
265,85,85,92,0.35,False,0.35
266,51,51,85,0.2967,False,0.2967
267,85,85,87,0.3367,False,0.3367
268,109,109,109,0.2633,True,0.2633
269,87,87,109,0.28,False,0.28
270,51,51,85,0.3167,False,0.3167
271,87,87,87,0.2933,True,0.2933
272,92,92,109,0.3167,False,0.3167
273,87,87,109,0.2733,False,0.2733
274,87,87,109,0.28,False,0.28
275,85,85,85,0.45,True,0.45
276,87,87,87,0.2933,True,0.2933
277,51,51,87,0.2767,False,0.2767
278,51,51,51,0.32,True,0.32
279,85,85,85,0.26,True,0.26
280,109,109,109,0.2967,True,0.2967
281,51,51,85,0.2733,False,0.2733
282,109,109,92,0.2667,False,0.2667
283,85,85,85,0.3333,True,0.3333
284,85,85,92,0.2567,False,0.2567
285,109,109,85,0.4533,False,0.4533
286,87,87,92,0.29,False,0.29
287,87,87,109,0.2567,False,0.2567
288,85,85,85,0.3867,True,0.3867
289,109,109,109,0.2567,True,0.2567
290,109,109,87,0.2533,False,0.2533
291,85,85,92,0.3233,False,0.3233
292,87,87,92,0.2767,False,0.2767
293,51,51,85,0.3167,False,0.3167
294,109,109,109,0.2767,True,0.2767
295,109,109,85,0.26,False,0.26
296,92,92,109,0.3067,False,0.3067
297,51,51,87,0.3333,False,0.3333
298,109,109,85,0.28,False,0.28
299,87,87,92,0.25,False,0.25
300,109,109,109,0.32,True,0.32
301,109,109,85,0.29,False,0.29
302,87,87,109,0.2767,False,0.2767
303,85,85,85,0.29,True,0.29
304,109,109,51,0.34,False,0.34
305,92,92,87,0.2567,False,0.2567
306,109,109,51,0.2533,False,0.2533
307,51,51,87,0.2767,False,0.2767
308,85,85,85,0.2667,True,0.2667
309,109,109,51,0.2633,False,0.2633
310,92,92,109,0.2667,False,0.2667
311,92,92,85,0.3067,False,0.3067
312,87,87,85,0.5867,False,0.5867
313,51,51,87,0.3133,False,0.3133
314,85,85,85,0.3633,True,0.3633
315,87,87,87,0.27,True,0.27
316,92,92,109,0.2667,False,0.2667
317,85,85,85,0.2433,True,0.2433
318,109,109,85,0.2633,False,0.2633
319,92,92,85,0.25,False,0.25
320,87,87,85,0.2633,False,0.2633
321,92,92,87,0.24,False,0.24
322,85,85,85,0.3033,True,0.3033
323,87,87,85,0.29,False,0.29
324,87,87,87,0.2667,True,0.2667
325,109,109,85,0.33,False,0.33
326,85,85,92,0.2833,False,0.2833
327,85,85,51,0.25,False,0.25
328,51,51,51,0.2633,True,0.2633
329,87,87,109,0.3667,False,0.3667
330,109,109,109,0.3867,True,0.3867
331,85,85,85,0.2867,True,0.2867
332,92,92,92,0.2767,True,0.2767
333,87,87,85,0.2467,False,0.2467
334,85,85,87,0.32,False,0.32
335,85,85,92,0.3067,False,0.3067
336,92,92,85,0.2567,False,0.2567
337,51,51,51,0.2633,True,0.2633
338,85,85,109,0.2933,False,0.2933
339,51,51,92,0.2633,False,0.2633
340,109,109,85,0.3367,False,0.3367
341,109,109,92,0.34,False,0.34
342,87,87,85,0.23,False,0.23
343,109,109,51,0.2567,False,0.2567
344,87,87,87,0.2333,True,0.2333
345,109,109,92,0.43,False,0.43
346,85,85,92,0.2567,False,0.2567
347,51,51,51,0.2433,True,0.2433
348,85,85,51,0.2933,False,0.2933
349,87,87,87,0.2933,True,0.2933
350,85,85,85,0.24,True,0.24
351,85,85,51,0.2167,False,0.2167
352,85,85,85,0.2433,True,0.2433
353,85,85,51,0.2567,False,0.2567
354,85,85,85,0.3167,True,0.3167
355,51,51,51,0.2333,True,0.2333
356,87,87,109,0.26,False,0.26
357,51,51,85,0.3667,False,0.3667
358,51,51,85,0.2667,False,0.2667
359,109,109,109,0.3067,True,0.3067
360,87,87,51,0.4467,False,0.4467
361,85,85,85,0.2533,True,0.2533
362,109,109,85,0.2667,False,0.2667
363,92,92,85,0.2633,False,0.2633
364,51,51,51,0.4233,True,0.4233
365,92,92,85,0.27,False,0.27
366,85,85,87,0.2967,False,0.2967
367,109,109,85,0.2833,False,0.2833
368,51,51,109,0.2833,False,0.2833
369,87,87,85,0.2633,False,0.2633
370,87,87,92,0.3467,False,0.3467
371,51,51,87,0.3033,False,0.3033
372,51,51,87,0.2733,False,0.2733
373,109,109,92,0.2833,False,0.2833
374,92,92,92,0.2967,True,0.2967
375,51,51,109,0.2433,False,0.2433
376,92,92,92,0.3167,True,0.3167
377,92,92,87,0.2467,False,0.2467
378,109,109,51,0.2567,False,0.2567
379,51,51,92,0.3467,False,0.3467
380,87,87,51,0.3,False,0.3
381,92,92,92,0.3167,True,0.3167
382,109,109,51,0.3333,False,0.3333
383,92,92,92,0.3033,True,0.3033
384,85,85,92,0.3067,False,0.3067
385,92,92,109,0.3133,False,0.3133
386,51,51,85,0.38,False,0.38
387,85,85,87,0.3167,False,0.3167
388,85,85,109,0.2667,False,0.2667
389,87,87,92,0.2933,False,0.2933
390,87,87,51,0.3367,False,0.3367
391,109,109,51,0.2533,False,0.2533
392,85,85,87,0.3633,False,0.3633
393,87,87,109,0.3433,False,0.3433
394,92,92,85,0.29,False,0.29
395,85,85,92,0.27,False,0.27
396,92,92,85,0.3633,False,0.3633
397,92,92,92,0.2333,True,0.2333
398,92,92,51,0.27,False,0.27
399,85,85,92,0.3433,False,0.3433
400,109,109,92,0.2967,False,0.2967
401,92,92,51,0.2933,False,0.2933
402,87,87,87,0.3233,True,0.3233
403,87,87,85,0.26,False,0.26
404,85,85,92,0.3333,False,0.3333
405,85,85,85,0.3033,True,0.3033
406,51,51,87,0.4133,False,0.4133
407,109,109,109,0.2967,True,0.2967
408,87,87,87,0.3567,True,0.3567
409,87,87,109,0.2667,False,0.2667
410,109,109,109,0.39,True,0.39
411,51,51,109,0.28,False,0.28
412,92,92,87,0.26,False,0.26
413,51,51,87,0.25,False,0.25
414,92,92,87,0.2867,False,0.2867
415,51,51,51,0.2267,True,0.2267
416,92,92,87,0.2867,False,0.2867
417,51,51,85,0.2533,False,0.2533
418,85,85,109,0.3567,False,0.3567
419,87,87,87,0.2967,True,0.2967
420,51,51,109,0.2933,False,0.2933
421,92,92,109,0.29,False,0.29
422,85,85,51,0.2633,False,0.2633
423,92,92,109,0.2633,False,0.2633
424,51,51,51,0.24,True,0.24
425,51,51,51,0.3567,True,0.3567
426,51,51,92,0.2567,False,0.2567
427,51,51,51,0.48,True,0.48
428,51,51,87,0.2933,False,0.2933
429,87,87,85,0.2833,False,0.2833
430,87,87,87,0.3067,True,0.3067
431,109,109,87,0.3133,False,0.3133
432,109,109,85,0.2767,False,0.2767
433,85,85,51,0.26,False,0.26
434,92,92,92,0.2667,True,0.2667
435,87,87,109,0.2367,False,0.2367
436,87,87,85,0.3633,False,0.3633
437,92,92,87,0.3633,False,0.3633
438,51,51,87,0.24,False,0.24
439,51,51,87,0.2267,False,0.2267
440,51,51,85,0.2533,False,0.2533
441,87,87,109,0.2733,False,0.2733
442,51,51,85,0.2433,False,0.2433
443,109,109,92,0.27,False,0.27
444,87,87,92,0.2433,False,0.2433
445,109,109,92,0.2967,False,0.2967
446,87,87,85,0.55,False,0.55
447,92,92,109,0.27,False,0.27
448,51,51,92,0.3367,False,0.3367
449,51,51,92,0.3033,False,0.3033
450,51,51,85,0.25,False,0.25
451,87,87,87,0.26,True,0.26
452,92,92,109,0.2667,False,0.2667
453,92,92,85,0.3433,False,0.3433
454,109,109,87,0.3533,False,0.3533
455,109,109,109,0.3467,True,0.3467
456,87,87,92,0.3,False,0.3
457,92,92,85,0.3667,False,0.3667
458,109,109,51,0.23,False,0.23
459,85,85,85,0.38,True,0.38
460,87,87,85,0.2733,False,0.2733
461,51,51,51,0.3267,True,0.3267
462,51,51,51,0.2833,True,0.2833
463,92,92,109,0.2267,False,0.2267
464,109,109,85,0.2833,False,0.2833
465,87,87,92,0.2633,False,0.2633
466,51,51,85,0.2967,False,0.2967
467,92,92,51,0.3267,False,0.3267
468,92,92,51,0.3,False,0.3
469,51,51,109,0.26,False,0.26
470,109,109,87,0.28,False,0.28
471,51,51,85,0.32,False,0.32
472,51,51,85,0.29,False,0.29
473,85,85,92,0.2833,False,0.2833
474,92,92,51,0.2233,False,0.2233
475,85,85,87,0.2567,False,0.2567
476,51,51,109,0.33,False,0.33
477,109,109,92,0.3167,False,0.3167
478,85,85,92,0.2967,False,0.2967
479,92,92,109,0.2633,False,0.2633
480,109,109,85,0.24,False,0.24
481,85,85,109,0.24,False,0.24
482,92,92,87,0.3133,False,0.3133
483,51,51,85,0.2767,False,0.2767
484,87,87,109,0.2667,False,0.2667
485,87,87,87,0.3067,True,0.3067
486,85,85,51,0.2567,False,0.2567
487,51,51,109,0.34,False,0.34
488,109,109,51,0.2767,False,0.2767
489,92,92,92,0.2667,True,0.2667
490,92,92,92,0.3,True,0.3
491,87,87,92,0.2867,False,0.2867
492,87,87,85,0.2667,False,0.2667
493,92,92,109,0.3333,False,0.3333
494,51,51,92,0.29,False,0.29
495,87,87,51,0.31,False,0.31
496,85,85,85,0.4067,True,0.4067
497,85,85,92,0.29,False,0.29
498,87,87,87,0.35,True,0.35
499,87,87,85,0.3633,False,0.3633
500,85,85,85,0.28,True,0.28
501,51,51,87,0.2967,False,0.2967
502,87,87,85,0.28,False,0.28
503,51,51,87,0.2633,False,0.2633
504,51,51,85,0.2267,False,0.2267
505,87,87,85,0.2867,False,0.2867
506,109,109,87,0.2567,False,0.2567
507,92,92,109,0.2567,False,0.2567
508,109,109,109,0.2733,True,0.2733
509,87,87,87,0.2633,True,0.2633
510,85,85,87,0.24,False,0.24
511,51,51,51,0.4333,True,0.4333
512,51,51,109,0.2233,False,0.2233
513,51,51,85,0.3133,False,0.3133
514,92,92,92,0.2767,True,0.2767
515,109,109,85,0.39,False,0.39
516,87,87,85,0.3533,False,0.3533
517,87,87,92,0.25,False,0.25
518,51,51,85,0.2433,False,0.2433
519,92,92,85,0.25,False,0.25
520,85,85,92,0.4267,False,0.4267
521,109,109,109,0.2933,True,0.2933
522,87,87,92,0.2867,False,0.2867
523,51,51,109,0.4033,False,0.4033
524,85,85,92,0.4,False,0.4
525,51,51,92,0.3433,False,0.3433
526,109,109,109,0.24,True,0.24
527,109,109,109,0.2467,True,0.2467
528,109,109,92,0.3233,False,0.3233
529,85,85,92,0.2467,False,0.2467
530,109,109,92,0.2933,False,0.2933
531,92,92,85,0.29,False,0.29
532,85,85,85,0.29,True,0.29
533,109,109,85,0.2967,False,0.2967
534,51,51,51,0.3433,True,0.3433
535,92,92,85,0.3167,False,0.3167
536,87,87,87,0.2733,True,0.2733
537,92,92,51,0.3133,False,0.3133
538,51,51,109,0.2867,False,0.2867
539,85,85,85,0.4267,True,0.4267
540,109,109,92,0.2233,False,0.2233
541,87,87,87,0.22,True,0.22
542,51,51,109,0.25,False,0.25
543,51,51,51,0.2867,True,0.2867
544,85,85,51,0.2467,False,0.2467
545,92,92,85,0.2667,False,0.2667
546,109,109,109,0.25,True,0.25
547,92,92,85,0.3,False,0.3
548,85,85,109,0.2633,False,0.2633
549,87,87,87,0.26,True,0.26
550,87,87,85,0.36,False,0.36
551,109,109,87,0.3,False,0.3
552,85,85,109,0.2933,False,0.2933
553,87,87,92,0.2933,False,0.2933
554,51,51,85,0.3667,False,0.3667
555,85,85,109,0.3067,False,0.3067
556,92,92,109,0.3,False,0.3
557,85,85,92,0.2667,False,0.2667
558,92,92,92,0.27,True,0.27
559,87,87,51,0.2367,False,0.2367
560,51,51,51,0.2633,True,0.2633
561,109,109,85,0.34,False,0.34
562,85,85,85,0.31,True,0.31
563,85,85,92,0.2667,False,0.2667
564,87,87,85,0.3467,False,0.3467
565,109,109,92,0.25,False,0.25
566,87,87,87,0.2333,True,0.2333
567,92,92,109,0.2433,False,0.2433
568,87,87,92,0.2633,False,0.2633
569,92,92,51,0.26,False,0.26
570,92,92,87,0.3133,False,0.3133
571,109,109,109,0.2767,True,0.2767
572,51,51,92,0.2433,False,0.2433
573,92,92,87,0.2733,False,0.2733
574,51,51,109,0.3333,False,0.3333
575,51,51,85,0.2467,False,0.2467
576,87,87,85,0.28,False,0.28
577,92,92,92,0.3,True,0.3
578,109,109,87,0.3567,False,0.3567
579,109,109,109,0.26,True,0.26
580,92,92,85,0.3167,False,0.3167
581,109,109,51,0.32,False,0.32
582,85,85,92,0.3067,False,0.3067
583,51,51,85,0.2833,False,0.2833
584,92,92,87,0.27,False,0.27
585,92,92,51,0.3033,False,0.3033
586,87,87,92,0.2433,False,0.2433
587,87,87,92,0.2733,False,0.2733
588,109,109,51,0.36,False,0.36
589,92,92,92,0.27,True,0.27
590,109,109,85,0.32,False,0.32
591,109,109,109,0.2433,True,0.2433
592,87,87,87,0.3533,True,0.3533
593,92,92,51,0.24,False,0.24
594,85,85,85,0.3467,True,0.3467
595,51,51,85,0.27,False,0.27
596,85,85,85,0.3233,True,0.3233
597,92,92,87,0.25,False,0.25
598,85,85,92,0.2967,False,0.2967
599,51,51,85,0.3133,False,0.3133
600,92,92,109,0.38,False,0.38
601,51,51,92,0.2733,False,0.2733
602,109,109,92,0.25,False,0.25
603,87,87,109,0.2733,False,0.2733
604,109,109,92,0.3333,False,0.3333
605,51,51,87,0.3567,False,0.3567
606,109,109,87,0.29,False,0.29
607,87,87,51,0.21,False,0.21
608,109,109,51,0.24,False,0.24
609,109,109,109,0.2433,True,0.2433
610,92,92,51,0.32,False,0.32
611,85,85,85,0.3467,True,0.3467
612,92,92,109,0.35,False,0.35
613,85,85,85,0.2567,True,0.2567
614,92,92,87,0.2433,False,0.2433
615,51,51,92,0.2767,False,0.2767
616,109,109,109,0.2567,True,0.2567
617,85,85,85,0.2733,True,0.2733
618,87,87,51,0.32,False,0.32
619,51,51,51,0.24,True,0.24
620,85,85,85,0.22,True,0.22
621,109,109,85,0.29,False,0.29
622,87,87,51,0.26,False,0.26
623,87,87,85,0.2867,False,0.2867
624,92,92,87,0.2533,False,0.2533
625,85,85,109,0.28,False,0.28
626,92,92,85,0.2633,False,0.2633
627,109,109,87,0.27,False,0.27
628,92,92,109,0.4,False,0.4
629,85,85,85,0.34,True,0.34
630,51,51,109,0.41,False,0.41
631,92,92,85,0.47,False,0.47
632,92,92,109,0.29,False,0.29
633,85,85,51,0.2167,False,0.2167
634,92,92,85,0.3433,False,0.3433
635,92,92,87,0.3167,False,0.3167
636,92,92,109,0.2967,False,0.2967
637,92,92,92,0.2667,True,0.2667
638,92,92,87,0.33,False,0.33
639,92,92,87,0.2833,False,0.2833
640,87,87,109,0.2633,False,0.2633
641,51,51,109,0.3133,False,0.3133
642,109,109,109,0.2433,True,0.2433
643,51,51,85,0.26,False,0.26
644,92,92,87,0.25,False,0.25
645,109,109,109,0.2733,True,0.2733
646,109,109,51,0.2933,False,0.2933
647,92,92,92,0.2667,True,0.2667
648,85,85,85,0.26,True,0.26
649,51,51,85,0.3433,False,0.3433
650,85,85,85,0.26,True,0.26
651,85,85,51,0.2967,False,0.2967
652,87,87,92,0.27,False,0.27
653,92,92,92,0.33,True,0.33
654,109,109,92,0.2467,False,0.2467
655,92,92,92,0.25,True,0.25
656,85,85,92,0.4133,False,0.4133
657,109,109,87,0.2933,False,0.2933
658,109,109,92,0.3233,False,0.3233
659,109,109,51,0.2967,False,0.2967
660,85,85,51,0.3533,False,0.3533
661,92,92,85,0.2567,False,0.2567
662,92,92,51,0.3767,False,0.3767
663,85,85,51,0.5133,False,0.5133
664,85,85,51,0.26,False,0.26
665,51,51,51,0.3267,True,0.3267
666,92,92,92,0.2867,True,0.2867
667,109,109,92,0.36,False,0.36
668,92,92,109,0.2933,False,0.2933
669,109,109,109,0.24,True,0.24
670,85,85,51,0.23,False,0.23
671,109,109,87,0.27,False,0.27
672,85,85,109,0.2767,False,0.2767
673,51,51,85,0.3,False,0.3
674,87,87,92,0.28,False,0.28
675,85,85,87,0.23,False,0.23
676,85,85,85,0.2833,True,0.2833
677,85,85,87,0.28,False,0.28
678,109,109,92,0.3,False,0.3
679,85,85,51,0.28,False,0.28
680,109,109,87,0.3733,False,0.3733
681,92,92,51,0.28,False,0.28
682,109,109,92,0.3033,False,0.3033
683,109,109,85,0.3733,False,0.3733
684,51,51,92,0.2767,False,0.2767
685,92,92,92,0.2667,True,0.2667
686,92,92,51,0.2467,False,0.2467
687,109,109,87,0.2733,False,0.2733
688,85,85,92,0.2533,False,0.2533
689,87,87,92,0.27,False,0.27
690,85,85,87,0.2867,False,0.2867
691,109,109,87,0.2833,False,0.2833
692,109,109,92,0.2633,False,0.2633
693,109,109,51,0.2233,False,0.2233
694,51,51,51,0.4633,True,0.4633
695,85,85,87,0.3067,False,0.3067
696,51,51,109,0.2633,False,0.2633
697,109,109,92,0.3133,False,0.3133
698,92,92,92,0.2267,True,0.2267
699,92,92,92,0.42,True,0.42
700,109,109,85,0.3967,False,0.3967
701,51,51,92,0.2733,False,0.2733
702,109,109,109,0.2933,True,0.2933
703,51,51,85,0.2367,False,0.2367
704,92,92,92,0.2767,True,0.2767
705,51,51,92,0.3533,False,0.3533
706,85,85,87,0.32,False,0.32
707,85,85,109,0.2733,False,0.2733
708,85,85,87,0.2667,False,0.2667
709,92,92,109,0.24,False,0.24
710,87,87,85,0.2433,False,0.2433
711,87,87,87,0.3033,True,0.3033
712,87,87,85,0.46,False,0.46
713,87,87,87,0.2667,True,0.2667
714,109,109,85,0.29,False,0.29
715,51,51,51,0.36,True,0.36
716,85,85,92,0.3267,False,0.3267
717,92,92,92,0.4033,True,0.4033
